Year,Geography,GeographyType,Indicator,Drug type,Value,ValueType
2016,Bedford,County,Drug Overdose Deaths Involving Prescription Opioids, Prescription Opioids,,Rate
2016,Bedford,County,Drug Overdose Deaths Involving All Opioids, All Opioids,,Rate
2016,Bedford,County,Drug Overdose Deaths Involving Opioids and Any Stimulant, Opioids and Any Stimulant,,Rate
2016,Bedford,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines, All Opioids and Benzodiazepines,,Rate
2016,Bedford,County,All Drug Overdose Deaths,All Drug Overdose Deaths,,Rate
2016,Bedford,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine), Psychostimulants with Abuse Potential (Including Methamphetamine),0,Rate
2016,Benton,County,Drug Overdose Deaths Involving All Stimulants, All Stimulants,0,Count
2016,Benton,County,Drug Overdose Deaths Involving Benzodiazepines, Benzodiazepines,0,Count
2016,Benton,County,Drug Overdose Deaths Involving Cocaine, Cocaine,0,Count
2016,Benton,County,Drug Overdose Deaths Involving Fentanyl, Fentanyl,0,Count
2016,Benton,County,Drug Overdose Deaths Involving Heroin, Heroin,0,Count
2016,Benton,County,Drug Overdose Deaths Involving Prescription Opioids, Prescription Opioids,0,Count
2016,Benton,County,Drug Overdose Deaths Involving All Opioids, All Opioids,1,Count
2016,Benton,County,Drug Overdose Deaths Involving Opioids and Any Stimulant, Opioids and Any Stimulant,,Count
2016,Benton,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines, All Opioids and Benzodiazepines,0,Count
2016,Benton,County,All Drug Overdose Deaths,All Drug Overdose Deaths,3,Count
2016,Benton,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine), Psychostimulants with Abuse Potential (Including Methamphetamine),0,Count
2016,Benton,County,Drug Overdose Deaths Involving All Stimulants, All Stimulants,0,Rate
2016,Benton,County,Drug Overdose Deaths Involving Benzodiazepines, Benzodiazepines,0,Rate
2016,Benton,County,Drug Overdose Deaths Involving Cocaine, Cocaine,0,Rate
2016,Benton,County,Drug Overdose Deaths Involving Fentanyl, Fentanyl,0,Rate
2016,Benton,County,Drug Overdose Deaths Involving Heroin, Heroin,0,Rate
2016,Benton,County,Drug Overdose Deaths Involving Prescription Opioids, Prescription Opioids,0,Rate
2016,Benton,County,Drug Overdose Deaths Involving All Opioids, All Opioids,,Rate
2016,Benton,County,Drug Overdose Deaths Involving Opioids and Any Stimulant, Opioids and Any Stimulant,,Rate
2016,Benton,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines, All Opioids and Benzodiazepines,0,Rate
2016,Benton,County,All Drug Overdose Deaths,All Drug Overdose Deaths,,Rate
2016,Benton,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine), Psychostimulants with Abuse Potential (Including Methamphetamine),0,Rate
2016,Bledsoe,County,Drug Overdose Deaths Involving All Stimulants, All Stimulants,0,Count
2016,Bledsoe,County,Drug Overdose Deaths Involving Benzodiazepines, Benzodiazepines,1,Count
2016,Bledsoe,County,Drug Overdose Deaths Involving Cocaine, Cocaine,0,Count
2016,Bledsoe,County,Drug Overdose Deaths Involving Fentanyl, Fentanyl,0,Count
2016,Bledsoe,County,Drug Overdose Deaths Involving Heroin, Heroin,0,Count
2016,Bledsoe,County,Drug Overdose Deaths Involving Prescription Opioids, Prescription Opioids,2,Count
2016,Bledsoe,County,Drug Overdose Deaths Involving All Opioids, All Opioids,2,Count
2016,Bledsoe,County,Drug Overdose Deaths Involving Opioids and Any Stimulant, Opioids and Any Stimulant,,Count
2016,Bledsoe,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines, All Opioids and Benzodiazepines,1,Count
2016,Bledsoe,County,All Drug Overdose Deaths,All Drug Overdose Deaths,3,Count
2016,Bledsoe,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine), Psychostimulants with Abuse Potential (Including Methamphetamine),0,Count
2016,Bledsoe,County,Drug Overdose Deaths Involving All Stimulants, All Stimulants,0,Rate
2016,Bledsoe,County,Drug Overdose Deaths Involving Benzodiazepines, Benzodiazepines,,Rate
2016,Bledsoe,County,Drug Overdose Deaths Involving Cocaine, Cocaine,0,Rate
2016,Bledsoe,County,Drug Overdose Deaths Involving Fentanyl, Fentanyl,0,Rate
2016,Bledsoe,County,Drug Overdose Deaths Involving Heroin, Heroin,0,Rate
2016,Bledsoe,County,Drug Overdose Deaths Involving Prescription Opioids, Prescription Opioids,,Rate
2016,Bledsoe,County,Drug Overdose Deaths Involving All Opioids, All Opioids,,Rate
2016,Bledsoe,County,Drug Overdose Deaths Involving Opioids and Any Stimulant, Opioids and Any Stimulant,,Rate
2016,Bledsoe,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines, All Opioids and Benzodiazepines,,Rate
2016,Bledsoe,County,All Drug Overdose Deaths,All Drug Overdose Deaths,,Rate
2016,Bledsoe,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine), Psychostimulants with Abuse Potential (Including Methamphetamine),0,Rate
2016,Blount,County,Drug Overdose Deaths Involving All Stimulants, All Stimulants,1,Count
2016,Blount,County,Drug Overdose Deaths Involving Benzodiazepines, Benzodiazepines,2,Count
2016,Blount,County,Drug Overdose Deaths Involving Cocaine, Cocaine,1,Count
2016,Blount,County,Drug Overdose Deaths Involving Fentanyl, Fentanyl,2,Count
2016,Blount,County,Drug Overdose Deaths Involving Heroin, Heroin,3,Count
2016,Blount,County,Drug Overdose Deaths Involving Prescription Opioids, Prescription Opioids,14,Count
2016,Blount,County,Drug Overdose Deaths Involving All Opioids, All Opioids,21,Count
2016,Blount,County,Drug Overdose Deaths Involving Opioids and Any Stimulant, Opioids and Any Stimulant,,Count
2016,Blount,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines, All Opioids and Benzodiazepines,2,Count
2016,Blount,County,All Drug Overdose Deaths,All Drug Overdose Deaths,35,Count
2016,Blount,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine), Psychostimulants with Abuse Potential (Including Methamphetamine),0,Count
2016,Blount,County,Drug Overdose Deaths Involving All Stimulants, All Stimulants,,Rate
2016,Blount,County,Drug Overdose Deaths Involving Benzodiazepines, Benzodiazepines,,Rate
2016,Blount,County,Drug Overdose Deaths Involving Cocaine, Cocaine,,Rate
2016,Blount,County,Drug Overdose Deaths Involving Fentanyl, Fentanyl,,Rate
2016,Blount,County,Drug Overdose Deaths Involving Heroin, Heroin,,Rate
2016,Blount,County,Drug Overdose Deaths Involving Prescription Opioids, Prescription Opioids,11,Rate
2016,Blount,County,Drug Overdose Deaths Involving All Opioids, All Opioids,17,Rate
2016,Blount,County,Drug Overdose Deaths Involving Opioids and Any Stimulant, Opioids and Any Stimulant,,Rate
2016,Blount,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines, All Opioids and Benzodiazepines,,Rate
2016,Blount,County,All Drug Overdose Deaths,All Drug Overdose Deaths,26,Rate
2016,Blount,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine), Psychostimulants with Abuse Potential (Including Methamphetamine),0,Rate
2016,Bradley,County,Drug Overdose Deaths Involving All Stimulants, All Stimulants,3,Count
2016,Bradley,County,Drug Overdose Deaths Involving Benzodiazepines, Benzodiazepines,1,Count
2016,Bradley,County,Drug Overdose Deaths Involving Cocaine, Cocaine,1,Count
2016,Bradley,County,Drug Overdose Deaths Involving Fentanyl, Fentanyl,0,Count
2016,Bradley,County,Drug Overdose Deaths Involving Heroin, Heroin,0,Count
2016,Bradley,County,Drug Overdose Deaths Involving Prescription Opioids, Prescription Opioids,7,Count
2016,Bradley,County,Drug Overdose Deaths Involving All Opioids, All Opioids,7,Count
2016,Bradley,County,Drug Overdose Deaths Involving Opioids and Any Stimulant, Opioids and Any Stimulant,1,Count
2016,Bradley,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines, All Opioids and Benzodiazepines,1,Count
2016,Bradley,County,All Drug Overdose Deaths,All Drug Overdose Deaths,16,Count
2016,Bradley,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine), Psychostimulants with Abuse Potential (Including Methamphetamine),2,Count
2016,Bradley,County,Drug Overdose Deaths Involving All Stimulants, All Stimulants,,Rate
2016,Bradley,County,Drug Overdose Deaths Involving Benzodiazepines, Benzodiazepines,,Rate
2016,Bradley,County,Drug Overdose Deaths Involving Cocaine, Cocaine,,Rate
2016,Bradley,County,Drug Overdose Deaths Involving Fentanyl, Fentanyl,0,Rate
2016,Bradley,County,Drug Overdose Deaths Involving Heroin, Heroin,0,Rate
2016,Bradley,County,Drug Overdose Deaths Involving Prescription Opioids, Prescription Opioids,,Rate
2016,Bradley,County,Drug Overdose Deaths Involving All Opioids, All Opioids,,Rate
2016,Bradley,County,Drug Overdose Deaths Involving Opioids and Any Stimulant, Opioids and Any Stimulant,,Rate
2016,Bradley,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines, All Opioids and Benzodiazepines,,Rate
2016,Bradley,County,All Drug Overdose Deaths,All Drug Overdose Deaths,16,Rate
2016,Bradley,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine), Psychostimulants with Abuse Potential (Including Methamphetamine),,Rate
2016,Campbell,County,Drug Overdose Deaths Involving All Stimulants, All Stimulants,3,Count
2016,Campbell,County,Drug Overdose Deaths Involving Benzodiazepines, Benzodiazepines,1,Count
2016,Campbell,County,Drug Overdose Deaths Involving Cocaine, Cocaine,2,Count
2016,Campbell,County,Drug Overdose Deaths Involving Fentanyl, Fentanyl,0,Count
2016,Campbell,County,Drug Overdose Deaths Involving Heroin, Heroin,1,Count
2016,Campbell,County,Drug Overdose Deaths Involving Prescription Opioids, Prescription Opioids,3,Count
2016,Campbell,County,Drug Overdose Deaths Involving All Opioids, All Opioids,4,Count
2016,Campbell,County,Drug Overdose Deaths Involving Opioids and Any Stimulant, Opioids and Any Stimulant,1,Count
2016,Campbell,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines, All Opioids and Benzodiazepines,0,Count
2016,Campbell,County,All Drug Overdose Deaths,All Drug Overdose Deaths,12,Count
2016,Campbell,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine), Psychostimulants with Abuse Potential (Including Methamphetamine),1,Count
2016,Campbell,County,Drug Overdose Deaths Involving All Stimulants, All Stimulants,,Rate
2016,Campbell,County,Drug Overdose Deaths Involving Benzodiazepines, Benzodiazepines,,Rate
2016,Campbell,County,Drug Overdose Deaths Involving Cocaine, Cocaine,,Rate
2016,Campbell,County,Drug Overdose Deaths Involving Fentanyl, Fentanyl,0,Rate
2016,Campbell,County,Drug Overdose Deaths Involving Heroin, Heroin,,Rate
2016,Campbell,County,Drug Overdose Deaths Involving Prescription Opioids, Prescription Opioids,,Rate
2016,Campbell,County,Drug Overdose Deaths Involving All Opioids, All Opioids,,Rate
2016,Campbell,County,Drug Overdose Deaths Involving Opioids and Any Stimulant, Opioids and Any Stimulant,,Rate
2016,Campbell,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines, All Opioids and Benzodiazepines,0,Rate
2016,Campbell,County,All Drug Overdose Deaths,All Drug Overdose Deaths,32,Rate
2016,Campbell,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine), Psychostimulants with Abuse Potential (Including Methamphetamine),,Rate
2016,Cannon,County,Drug Overdose Deaths Involving All Stimulants, All Stimulants,0,Count
2016,Cannon,County,Drug Overdose Deaths Involving Benzodiazepines, Benzodiazepines,3,Count
2016,Cannon,County,Drug Overdose Deaths Involving Cocaine, Cocaine,0,Count
2016,Cannon,County,Drug Overdose Deaths Involving Fentanyl, Fentanyl,0,Count
2016,Cannon,County,Drug Overdose Deaths Involving Heroin, Heroin,1,Count
2016,Cannon,County,Drug Overdose Deaths Involving Prescription Opioids, Prescription Opioids,2,Count
2016,Cannon,County,Drug Overdose Deaths Involving All Opioids, All Opioids,3,Count
2016,Cannon,County,Drug Overdose Deaths Involving Opioids and Any Stimulant, Opioids and Any Stimulant,,Count
2016,Cannon,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines, All Opioids and Benzodiazepines,3,Count
2016,Cannon,County,All Drug Overdose Deaths,All Drug Overdose Deaths,4,Count
2016,Cannon,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine), Psychostimulants with Abuse Potential (Including Methamphetamine),0,Count
2016,Cannon,County,Drug Overdose Deaths Involving All Stimulants, All Stimulants,0,Rate
2016,Cannon,County,Drug Overdose Deaths Involving Benzodiazepines, Benzodiazepines,,Rate
2016,Cannon,County,Drug Overdose Deaths Involving Cocaine, Cocaine,0,Rate
2016,Cannon,County,Drug Overdose Deaths Involving Fentanyl, Fentanyl,0,Rate
2016,Cannon,County,Drug Overdose Deaths Involving Heroin, Heroin,,Rate
2016,Cannon,County,Drug Overdose Deaths Involving Prescription Opioids, Prescription Opioids,,Rate
2016,Cannon,County,Drug Overdose Deaths Involving All Opioids, All Opioids,,Rate
2016,Cannon,County,Drug Overdose Deaths Involving Opioids and Any Stimulant, Opioids and Any Stimulant,,Rate
2016,Cannon,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines, All Opioids and Benzodiazepines,,Rate
2016,Cannon,County,All Drug Overdose Deaths,All Drug Overdose Deaths,,Rate
2016,Cannon,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine), Psychostimulants with Abuse Potential (Including Methamphetamine),0,Rate
2016,Carroll,County,Drug Overdose Deaths Involving All Stimulants, All Stimulants,2,Count
2016,Carroll,County,Drug Overdose Deaths Involving Benzodiazepines, Benzodiazepines,0,Count
2016,Carroll,County,Drug Overdose Deaths Involving Cocaine, Cocaine,0,Count
2016,Carroll,County,Drug Overdose Deaths Involving Fentanyl, Fentanyl,1,Count
2016,Carroll,County,Drug Overdose Deaths Involving Heroin, Heroin,0,Count
2016,Carroll,County,Drug Overdose Deaths Involving Prescription Opioids, Prescription Opioids,0,Count
2016,Carroll,County,Drug Overdose Deaths Involving All Opioids, All Opioids,1,Count
2016,Carroll,County,Drug Overdose Deaths Involving Opioids and Any Stimulant, Opioids and Any Stimulant,1,Count
2016,Carroll,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines, All Opioids and Benzodiazepines,0,Count
2016,Carroll,County,All Drug Overdose Deaths,All Drug Overdose Deaths,2,Count
2016,Carroll,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine), Psychostimulants with Abuse Potential (Including Methamphetamine),2,Count
2016,Carroll,County,Drug Overdose Deaths Involving All Stimulants, All Stimulants,,Rate
2016,Carroll,County,Drug Overdose Deaths Involving Benzodiazepines, Benzodiazepines,0,Rate
2016,Carroll,County,Drug Overdose Deaths Involving Cocaine, Cocaine,0,Rate
2016,Carroll,County,Drug Overdose Deaths Involving Fentanyl, Fentanyl,,Rate
2016,Carroll,County,Drug Overdose Deaths Involving Heroin, Heroin,0,Rate
2016,Carroll,County,Drug Overdose Deaths Involving Prescription Opioids, Prescription Opioids,0,Rate
2016,Carroll,County,Drug Overdose Deaths Involving All Opioids, All Opioids,,Rate
2016,Carroll,County,Drug Overdose Deaths Involving Opioids and Any Stimulant, Opioids and Any Stimulant,,Rate
2016,Carroll,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines, All Opioids and Benzodiazepines,0,Rate
2016,Carroll,County,All Drug Overdose Deaths,All Drug Overdose Deaths,,Rate
2016,Carroll,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine), Psychostimulants with Abuse Potential (Including Methamphetamine),,Rate
2016,Carter,County,Drug Overdose Deaths Involving All Stimulants, All Stimulants,1,Count
2016,Carter,County,Drug Overdose Deaths Involving Benzodiazepines, Benzodiazepines,12,Count
2016,Carter,County,Drug Overdose Deaths Involving Cocaine, Cocaine,0,Count
2016,Carter,County,Drug Overdose Deaths Involving Fentanyl, Fentanyl,0,Count
2016,Carter,County,Drug Overdose Deaths Involving Heroin, Heroin,1,Count
2016,Carter,County,Drug Overdose Deaths Involving Prescription Opioids, Prescription Opioids,11,Count
2016,Carter,County,Drug Overdose Deaths Involving All Opioids, All Opioids,14,Count
2016,Carter,County,Drug Overdose Deaths Involving Opioids and Any Stimulant, Opioids and Any Stimulant,,Count
2016,Carter,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines, All Opioids and Benzodiazepines,10,Count
2016,Carter,County,All Drug Overdose Deaths,All Drug Overdose Deaths,19,Count
2016,Carter,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine), Psychostimulants with Abuse Potential (Including Methamphetamine),1,Count
2016,Carter,County,Drug Overdose Deaths Involving All Stimulants, All Stimulants,,Rate
2016,Carter,County,Drug Overdose Deaths Involving Benzodiazepines, Benzodiazepines,21,Rate
2016,Carter,County,Drug Overdose Deaths Involving Cocaine, Cocaine,0,Rate
2016,Carter,County,Drug Overdose Deaths Involving Fentanyl, Fentanyl,0,Rate
2016,Carter,County,Drug Overdose Deaths Involving Heroin, Heroin,,Rate
2016,Carter,County,Drug Overdose Deaths Involving Prescription Opioids, Prescription Opioids,20,Rate
2016,Carter,County,Drug Overdose Deaths Involving All Opioids, All Opioids,25,Rate
2016,Carter,County,Drug Overdose Deaths Involving Opioids and Any Stimulant, Opioids and Any Stimulant,,Rate
2016,Carter,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines, All Opioids and Benzodiazepines,19,Rate
2016,Carter,County,All Drug Overdose Deaths,All Drug Overdose Deaths,32,Rate
2016,Carter,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine), Psychostimulants with Abuse Potential (Including Methamphetamine),,Rate
2016,Chattanooga and Hamilton Metro,Region,Drug Overdose Deaths Involving All Stimulants, All Stimulants,23,Count
2016,Chattanooga and Hamilton Metro,Region,Drug Overdose Deaths Involving Benzodiazepines, Benzodiazepines,14,Count
2016,Chattanooga and Hamilton Metro,Region,Drug Overdose Deaths Involving Cocaine, Cocaine,8,Count
2016,Chattanooga and Hamilton Metro,Region,Drug Overdose Deaths Involving Fentanyl, Fentanyl,14,Count
2016,Chattanooga and Hamilton Metro,Region,Drug Overdose Deaths Involving Heroin, Heroin,9,Count
2016,Chattanooga and Hamilton Metro,Region,Drug Overdose Deaths Involving Prescription Opioids, Prescription Opioids,32,Count
2016,Chattanooga and Hamilton Metro,Region,Drug Overdose Deaths Involving All Opioids, All Opioids,53,Count
2016,Chattanooga and Hamilton Metro,Region,Drug Overdose Deaths Involving Opioids and Any Stimulant, Opioids and Any Stimulant,12,Count
2016,Chattanooga and Hamilton Metro,Region,Drug Overdose Deaths Involving All Opioids and Benzodiazepines, All Opioids and Benzodiazepines,11,Count
2016,Chattanooga and Hamilton Metro,Region,All Drug Overdose Deaths,All Drug Overdose Deaths,69,Count
2016,Chattanooga and Hamilton Metro,Region,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine), Psychostimulants with Abuse Potential (Including Methamphetamine),17,Count
2016,Chattanooga and Hamilton Metro,Region,Drug Overdose Deaths Involving All Stimulants, All Stimulants,7,Rate
2016,Chattanooga and Hamilton Metro,Region,Drug Overdose Deaths Involving Benzodiazepines, Benzodiazepines,4,Rate
2016,Chattanooga and Hamilton Metro,Region,Drug Overdose Deaths Involving Cocaine, Cocaine,,Rate
2016,Chattanooga and Hamilton Metro,Region,Drug Overdose Deaths Involving Fentanyl, Fentanyl,4,Rate
2016,Chattanooga and Hamilton Metro,Region,Drug Overdose Deaths Involving Heroin, Heroin,,Rate
2016,Chattanooga and Hamilton Metro,Region,Drug Overdose Deaths Involving Prescription Opioids, Prescription Opioids,9,Rate
2016,Chattanooga and Hamilton Metro,Region,Drug Overdose Deaths Involving All Opioids, All Opioids,15,Rate
2016,Chattanooga and Hamilton Metro,Region,Drug Overdose Deaths Involving Opioids and Any Stimulant, Opioids and Any Stimulant,3,Rate
2016,Chattanooga and Hamilton Metro,Region,Drug Overdose Deaths Involving All Opioids and Benzodiazepines, All Opioids and Benzodiazepines,3,Rate
2016,Chattanooga and Hamilton Metro,Region,All Drug Overdose Deaths,All Drug Overdose Deaths,20,Rate
2016,Chattanooga and Hamilton Metro,Region,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine), Psychostimulants with Abuse Potential (Including Methamphetamine),5,Rate
2016,Cheatham,County,Drug Overdose Deaths Involving All Stimulants, All Stimulants,3,Count
2016,Cheatham,County,Drug Overdose Deaths Involving Benzodiazepines, Benzodiazepines,6,Count
2016,Cheatham,County,Drug Overdose Deaths Involving Cocaine, Cocaine,2,Count
2016,Cheatham,County,Drug Overdose Deaths Involving Fentanyl, Fentanyl,1,Count
2016,Cheatham,County,Drug Overdose Deaths Involving Heroin, Heroin,2,Count
2016,Cheatham,County,Drug Overdose Deaths Involving Prescription Opioids, Prescription Opioids,11,Count
2016,Cheatham,County,Drug Overdose Deaths Involving All Opioids, All Opioids,13,Count
2016,Cheatham,County,Drug Overdose Deaths Involving Opioids and Any Stimulant, Opioids and Any Stimulant,2,Count
2016,Cheatham,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines, All Opioids and Benzodiazepines,6,Count
2016,Cheatham,County,All Drug Overdose Deaths,All Drug Overdose Deaths,15,Count
2016,Cheatham,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine), Psychostimulants with Abuse Potential (Including Methamphetamine),1,Count
2016,Cheatham,County,Drug Overdose Deaths Involving All Stimulants, All Stimulants,,Rate
2016,Cheatham,County,Drug Overdose Deaths Involving Benzodiazepines, Benzodiazepines,,Rate
2016,Cheatham,County,Drug Overdose Deaths Involving Cocaine, Cocaine,,Rate
2016,Cheatham,County,Drug Overdose Deaths Involving Fentanyl, Fentanyl,,Rate
2016,Cheatham,County,Drug Overdose Deaths Involving Heroin, Heroin,,Rate
2016,Cheatham,County,Drug Overdose Deaths Involving Prescription Opioids, Prescription Opioids,27,Rate
2016,Cheatham,County,Drug Overdose Deaths Involving All Opioids, All Opioids,33,Rate
2016,Cheatham,County,Drug Overdose Deaths Involving Opioids and Any Stimulant, Opioids and Any Stimulant,,Rate
2016,Cheatham,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines, All Opioids and Benzodiazepines,,Rate
2016,Cheatham,County,All Drug Overdose Deaths,All Drug Overdose Deaths,38,Rate
2016,Cheatham,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine), Psychostimulants with Abuse Potential (Including Methamphetamine),,Rate
2016,Chester,County,Drug Overdose Deaths Involving All Stimulants, All Stimulants,1,Count
2016,Chester,County,Drug Overdose Deaths Involving Benzodiazepines, Benzodiazepines,1,Count
2016,Chester,County,Drug Overdose Deaths Involving Cocaine, Cocaine,1,Count
2016,Chester,County,Drug Overdose Deaths Involving Fentanyl, Fentanyl,0,Count
2016,Chester,County,Drug Overdose Deaths Involving Heroin, Heroin,1,Count
2016,Chester,County,Drug Overdose Deaths Involving Prescription Opioids, Prescription Opioids,1,Count
2016,Chester,County,Drug Overdose Deaths Involving All Opioids, All Opioids,2,Count
2016,Chester,County,Drug Overdose Deaths Involving Opioids and Any Stimulant, Opioids and Any Stimulant,1,Count
2016,Chester,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines, All Opioids and Benzodiazepines,1,Count
2016,Chester,County,All Drug Overdose Deaths,All Drug Overdose Deaths,2,Count
2016,Chester,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine), Psychostimulants with Abuse Potential (Including Methamphetamine),0,Count
2016,Chester,County,Drug Overdose Deaths Involving All Stimulants, All Stimulants,,Rate
2016,Chester,County,Drug Overdose Deaths Involving Benzodiazepines, Benzodiazepines,,Rate
2016,Chester,County,Drug Overdose Deaths Involving Cocaine, Cocaine,,Rate
2016,Chester,County,Drug Overdose Deaths Involving Fentanyl, Fentanyl,0,Rate
